YEAR,Rainfall,Tmax,Tmean,Tmin,gLat,gLon,n_wells
1993,797.76,33.017671232876715,26.729342465753422,21.754328767123287,11.0,77.5,219
1994,711.22,32.62523287671233,26.336876712328763,21.501698630136985,11.0,77.5,219
1995,560.05,33.64506849315069,27.103671232876714,21.97060273972603,11.0,77.5,219
1996,754.36,33.24510928961748,26.750437158469946,21.602404371584697,11.0,77.5,219
1997,766.87,33.28049315068493,27.11027397260274,22.23369863013699,11.0,77.5,219
1998,662.59,33.51432876712329,27.430109589041095,22.589506849315068,11.0,77.5,219
1999,624.3,33.09972602739726,26.669890410958903,21.66284931506849,11.0,77.5,219
2000,662.72,33.39830601092896,26.93229508196721,21.911530054644807,11.0,77.5,219
2001,664.58,33.37517808219178,27.05572602739726,22.172931506849316,11.0,77.5,219
2002,479.17,34.24676712328767,27.526191780821918,22.300876712328765,11.0,77.5,219
2003,604.22,33.93621917808219,27.492082191780824,22.499013698630137,11.0,77.5,219
2004,830.01,32.822841530054646,26.594071038251368,21.698661202185793,11.0,77.5,219
2005,940.06,32.670986301369865,26.80358904109589,22.24849315068493,11.0,77.5,219
2006,683.94,32.64487671232877,26.496684931506852,21.714767123287672,11.0,77.5,219
2007,707.32,33.1993698630137,26.894410958904107,21.88512328767123,11.0,77.5,219
2008,798.96,32.60177595628415,26.298524590163936,21.44707650273224,11.0,77.5,219
2009,536.78,33.6818904109589,27.113945205479453,22.01835616438356,11.0,77.5,219
2010,849.76,33.258493150684934,27.19808219178082,22.48386301369863,11.0,77.5,219
2011,749.17,32.811205479452056,26.504109589041096,21.625561643835617,11.0,77.5,219
2012,521.55,33.99016393442623,27.35617486338798,22.219180327868852,11.0,77.5,219
2013,555.68,33.927205479452056,27.506602739726027,22.483342465753424,11.0,77.5,219
2014,604.63,33.7086301369863,27.38876712328767,22.419780821917808,11.0,77.5,219
2015,867.27,33.39183561643836,27.12109589041096,22.207835616438356,11.0,77.5,219
2016,411.39,34.94065573770492,28.049371584699454,22.66688524590164,11.0,77.5,219
2017,833.14,33.30583561643835,27.149561643835618,22.254465753424657,11.0,77.5,219
2018,752.8,33.36268493150685,27.01594520547945,22.113123287671232,11.0,77.5,219
2019,851.52,33.912328767123284,27.73158904109589,22.772876712328767,11.0,77.5,219
2020,942.1,33.278907103825134,27.301366120218578,22.52374316939891,11.0,77.5,219
2021,1188.19,31.865616438356167,26.266191780821917,21.891013698630136,11.0,77.5,219
2022,1061.02,32.26520547945205,26.44019178082192,21.86805479452055,11.0,77.5,219
2023,842.73,33.76446575342466,27.313232876712327,22.272876712328767,11.0,77.5,219
2024,1058.83,33.33568306010929,27.50106557377049,22.794890710382514,11.0,77.5,219
2025,755.66,33.02509589041096,26.92038356164384,22.23780821917808,11.0,77.5,219
1993,809.76,32.559397260273975,26.073643835616437,20.875232876712328,11.5,77.5,173
1994,670.27,32.421863013698626,25.842821917808216,20.74342465753425,11.5,77.5,173
1995,590.01,33.078356164383564,26.407616438356165,21.102657534246575,11.5,77.5,173
1996,809.77,32.66415300546448,26.02483606557377,20.689453551912568,11.5,77.5,173
1997,803.02,32.72482191780822,26.411068493150687,21.404164383561646,11.5,77.5,173
1998,753.78,32.761452054794525,26.582986301369864,21.60594520547945,11.5,77.5,173
1999,669.17,32.660657534246575,25.999534246575344,20.721342465753423,11.5,77.5,173
2000,726.6,32.79467213114754,26.21532786885246,21.02469945355191,11.5,77.5,173
2001,705.02,32.86635616438356,26.37723287671233,21.308520547945204,11.5,77.5,173
2002,503.71,33.72945205479452,26.8593698630137,21.42117808219178,11.5,77.5,173
2003,591.66,33.57709589041096,26.912465753424655,21.68632876712329,11.5,77.5,173
2004,864.68,32.31513661202186,25.906229508196724,20.820054644808746,11.5,77.5,173
2005,1022.76,32.16893150684931,26.119013698630138,21.385369863013697,11.5,77.5,173
2006,665.26,32.246849315068495,25.847287671232877,20.845808219178082,11.5,77.5,173
2007,768.57,32.57621917808219,26.13194520547945,20.960082191780824,11.5,77.5,173
2008,865.44,32.046147540983604,25.565874316939894,20.512486338797814,11.5,77.5,173
2009,558.55,33.21334246575343,26.47019178082192,21.21339726027397,11.5,77.5,173
2010,907.91,32.67854794520548,26.481972602739727,21.624904109589043,11.5,77.5,173
2011,739.38,32.508876712328764,25.90764383561644,20.685534246575344,11.5,77.5,173
2012,561.03,33.636830601092896,26.777213114754097,21.379945355191257,11.5,77.5,173
2013,603.19,33.3426301369863,26.78605479452055,21.577178082191782,11.5,77.5,173
