Year,Mean GWL (m),Median GWL (m),Std Dev (m),Min GWL (m),Max GWL (m),Number of Obs.
1993,10.903,8.83,7.183,0.75,57.25,3153
1994,9.742,7.86,6.496,0.6,38.95,3295
1995,8.886,7.16,5.842,0.79,36.9,3208
1996,11.68,10.565,6.621,1.3,39.04,3008
1997,10.872,9.12,7.232,1.0,93.55,3159
1998,9.267,7.55,6.464,0.49,50.0,3642
1999,10.145,8.22,7.263,0.33,53.0,3394
2000,10.612,8.39,7.783,0.37,48.0,3496
2001,12.058,10.2,8.472,0.4,69.81,3437
2002,13.546,11.57,9.22,0.62,127.0,3186
2003,14.671,12.2,9.539,1.24,80.2,3216
2004,15.43,13.05,10.301,0.5,75.0,3166
2005,12.668,10.0,9.801,0.1,65.4,3627
2006,9.552,6.8,8.55,0.37,61.4,3922
2007,10.249,7.86,8.446,0.45,70.82,3815
2008,9.636,7.2,8.292,0.45,54.02,4105
2009,11.339,8.72,9.276,0.22,54.98,4094
2010,11.78,8.62,10.838,0.12,124.0,4503
2011,10.301,7.23,11.521,0.14,127.15,5566
2012,11.752,9.35,10.362,0.6,120.0,6155
2013,15.174,12.48,12.703,0.67,129.6,6301
2014,14.767,11.445,13.614,0.0,131.65,5798
2015,11.429,8.5,11.532,0.1,127.7,6512
2016,12.968,10.13,12.316,0.3,125.75,6841
2017,16.88,13.32,14.922,0.5,131.0,7004
2018,14.199,10.59,14.394,0.5,127.9,6647
2019,12.308,9.3,12.249,0.0,123.7,7002
2020,11.675,8.62,11.825,0.1,122.2,6915
2021,10.381,7.55,10.438,0.0,117.9,6748
2022,7.861,5.4,9.078,0.0,109.0,6968
2023,8.937,6.65,8.756,0.0,138.0,6942
2024,9.85,7.11,10.173,0.02,140.5,6961
2025,9.06,6.745,9.078,0.0,123.0,6966
