Well No,Latitude,Longitude,District,Well Type,Block_Name,Inside_Basin
2E38A,11.22049,77.82178399999998,16.Erode,Dug Well,Outside Basin,False
53258,11.1997,77.4225,19.Tiruppur,Dug Well,Outside Basin,False
53259,11.2424402,77.5050638,16.Erode,Dug Well,Outside Basin,False
53260,11.1756,77.4597,19.Tiruppur,Dug Well,Outside Basin,False
53261,11.1306082,77.4038991,19.Tiruppur,Dug Well,Outside Basin,False
53262,11.1206,77.4625,19.Tiruppur,Dug Well,Outside Basin,False
53263,11.163342,77.489956,16.Erode,Dug Well,Outside Basin,False
53264,11.151747,77.545446,16.Erode,Dug Well,Outside Basin,False
53265,11.1176965,77.5952872,16.Erode,Dug Well,Outside Basin,False
53266,11.194444,77.59444399999998,16.Erode,Dug Well,Outside Basin,False
53266(A),11.1933,77.5939,16.Erode,Dug Well,Outside Basin,False
53267,11.3774484,77.53758329999998,16.Erode,Dug Well,Perundurai,True
53268,11.3058173,77.6158058,16.Erode,Dug Well,Outside Basin,False
53268 A,11.30677,77.61934999999998,16.Erode,Dug Well,Outside Basin,False
53269,11.3358333,77.57305549999998,16.Erode,Dug Well,Perundurai,True
53271,11.2294,77.4175,19.Tiruppur,Dug Well,Outside Basin,False
53272,11.2306,77.465,19.Tiruppur,Dug Well,Outside Basin,False
61243,10.987222,76.84444399999998,18.Coimbatore,Bore Well,Outside Basin,False
61245,11.241665,77.241668,19.Tiruppur,Bore Well,Outside Basin,False
61247,10.978666,77.038342,18.Coimbatore,Bore Well,Outside Basin,False
61248,11.098848,77.21370899999998,18.Coimbatore,Bore Well,Outside Basin,False
61249,11.230391,77.112093,18.Coimbatore,Bore Well,Outside Basin,False
63001,11.3120717,77.31503209999998,16.Erode,Dug Well,Nambiyur,True
63003,11.3326943,77.41443339999998,16.Erode,Dug Well,Nambiyur,True
63004,11.398611,77.15694399999998,16.Erode,Dug Well,Bhavanisagar,True
63004A,11.3997222,77.176111,16.Erode,Dug Well,Bhavanisagar,True
63005,11.3512873,77.1666841,16.Erode,Dug Well,Bhavanisagar,True
63006,11.373766,77.20331199999998,16.Erode,Dug Well,Bhavanisagar,True
63007,11.411673,77.233115,16.Erode,Dug Well,Sathyamangalam,True
63008,11.3398366,77.2624771,16.Erode,Dug Well,Nambiyur,True
63009,11.4034279,77.2929957,16.Erode,Dug Well,Nambiyur,True
63010,11.359722,77.32222199999998,16.Erode,Dug Well,Nambiyur,True
63010A,11.3587234,77.320159,16.Erode,Dug Well,Nambiyur,True
63011,11.395757,77.3357318,16.Erode,Dug Well,Nambiyur,True
63012,11.3652155,77.37855829999998,16.Erode,Dug Well,Nambiyur,True
63013,11.407473,77.400861,16.Erode,Dug Well,Gobi,True
63014,11.3959483,77.43317879999998,16.Erode,Dug Well,Gobi,True
63015,11.359722,77.461111,16.Erode,Dug Well,Gobi,True
63015 A,11.372222,77.463611,16.Erode,Dug Well,Gobi,True
63015AA,11.3749962,77.46458649999998,16.Erode,Dug Well,Gobi,True
63016,11.3699181,77.49885709999998,16.Erode,Dug Well,Gobi,True
63017,11.474983,77.14312099999998,16.Erode,Dug Well,Bhavanisagar,True
63018,11.405556,77.179167,16.Erode,Dug Well,Bhavanisagar,True
63018A,11.4927232,77.18078409999998,16.Erode,Dug Well,Bhavanisagar,True
63019,11.420447,77.195554,16.Erode,Dug Well,Bhavanisagar,True
63020,11.450909,77.21536299999998,16.Erode,Dug Well,Sathyamangalam,True
63021,11.4495485,77.2708664,16.Erode,Dug Well,Sathyamangalam,True
63022,11.4787417,77.300662,16.Erode,Dug Well,T.N. Palayam,True
63023,11.4467736,77.3581147,16.Erode,Dug Well,Gobi,True
63024,11.4574697,77.41228119999998,16.Erode,Dug Well,Gobi,True
63025,11.44669,77.501475,16.Erode,Dug Well,Gobi,True
63026,11.4391992,77.5662132,16.Erode,Dug Well,Bhavani,True
63027,11.5440907,77.1583518,16.Erode,Dug Well,Sathyamangalam,True
63028,11.533333,77.22499999999998,16.Erode,Dug Well,Sathyamangalam,True
63028A,11.528429,77.20548499999998,16.Erode,Dug Well,Sathyamangalam,True
63029,11.506051,77.23573489999998,16.Erode,Dug Well,Sathyamangalam,True
63030,11.5285502,77.30032099999998,16.Erode,Dug Well,Sathyamangalam,True
63031,11.505556,77.363889,16.Erode,Dug Well,T.N. Palayam,True
63031 A,11.5076005,77.3844578,16.Erode,Dug Well,T.N. Palayam,True
63032,11.5072543,77.4073841,16.Erode,Dug Well,T.N. Palayam,True
63033,11.513889,77.455556,16.Erode,Dug Well,T.N. Palayam,True
63033 A,11.527972,77.486675,16.Erode,Dug Well,T.N. Palayam,True
63034,11.5204343,77.5075054,16.Erode,Dug Well,Gobi,True
63037,11.6987,76.897316,16.Erode,Dug Well,Outside Basin,False
63038,11.717319,76.96447499999998,16.Erode,Dug Well,Outside Basin,False
63039,11.719545,77.035984,16.Erode,Dug Well,Outside Basin,False
63040,11.666667,77.138889,16.Erode,Dug Well,Outside Basin,False
63040A,11.6732971,77.1300621,16.Erode,Dug Well,Outside Basin,False
63041,11.747214,76.926585,16.Erode,Dug Well,Outside Basin,False
63042,11.780556,77.022222,16.Erode,Dug Well,Outside Basin,False
63042 A,11.7757137,77.02328459999998,16.Erode,Dug Well,Outside Basin,False
63043,11.4495485,77.2708664,16.Erode,Dug Well,Sathyamangalam,True
63044,11.3709671,77.3527095,16.Erode,Dug Well,Nambiyur,True
63045,11.3949085,77.3017482,16.Erode,Dug Well,Nambiyur,True
63046,11.457322,77.33416599999998,16.Erode,Dug Well,T.N. Palayam,True
63047,11.50051,77.30945099999998,16.Erode,Dug Well,T.N. Palayam,True
